,Site Name,link,Topic
0, A Byte of Python,https://python.swaroopch.com/,Python
1, A List Apart,http://alistapart.com/,Blogs
2, Android Developers,https://developer.android.com/docs/,Mobile
3, Bento.io,https://bento.io/,General
4, CSS-Tricks,https://css-tricks.com/,HTML / CSS
5, Code.org,https://code.org/,General
6, Coderbyte,https://coderbyte.com/,General
7, Command Line Power User,https://commandlinepoweruser.com/,CommandLine
8, Conquering the Command Line,http://conqueringthecommandline.com/book,CommandLine
9, David Walsh,http://davidwalsh.name/,Blogs
10, Derek Banas,https://www.youtube.com/user/derekbanas,General
11, Edabit,https://edabit.com/,General
12, Eloquent Javascript,http://eloquentjavascript.net/,JavaScript
13, Git Immersion,http://gitimmersion.com/,Git
14, Google Developers Training,https://developers.google.com/training/android/#for-new-programmers,Mobile
15, HTML5 Dog,http://www.htmldog.com/,HTML / CSS
16, Hackr.io,https://hackr.io/ ,General
17, JavaScript for Cats,http://jsforcats.com/,JavaScript
18, Javascript.com,https://www.javascript.com/,Javascript
19, Launch School Open Book Shelf,https://launchschool.com/books,General
20, Learn Enough Command Line to Be Dangerous,https://www.learnenough.com/command-line-tutorial,CommandLine
21, Learn JS,http://www.learn-js.org/,JavaScript
22, Learn Python The Hard Way (Website),https://learnpythonthehardway.org/book/,Python
23, Learn Ruby the Hard Way,https://learnrubythehardway.org/,Ruby
24, Learn to Code HTML & CSS,https://learn.shayhowe.com/,HTML / CSS
25, LearnCode.academy,https://www.youtube.com/user/learncodeacademy,General
26, LearnPython.org,http://www.learnpython.org/,Python
27, Marksheet.io,https://marksheet.io/,HTML / CSS
28, Microsoft Virtual Academy,https://mva.microsoft.com/,General
29, Mozilla Developer Network,https://developer.mozilla.org/en-US/,HTML / CSS
30, NodeSchool,https://nodeschool.io/,JavaScript
31, ProgrammingKnowledge,https://www.youtube.com/user/ProgrammingKnowledge,General
32, Rails For Zombies,https://www.pluralsight.com/courses/code-school-rails-for-zombies,Ruby
33, Rails Tutorial,https://www.railstutorial.org/book,Ruby
34, Ruby In 20 Minutes,https://www.ruby-lang.org/en/documentation/quickstart/,Ruby
